Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02 00:00:00-05:00,0.0,0.06690775659512345,0.06625642364341305,0.06662868708372116,633830,0.0,0.0
1962-01-03 00:00:00-05:00,0.0,0.06662863728764239,0.06327861536775072,0.06383692473173141,6564672,0.0,0.0
1962-01-04 00:00:00-05:00,0.0,0.06439522926350276,0.06290635250747902,0.06318558752536774,1199750,0.0,0.0
1962-01-05 00:00:00-05:00,0.0,0.06290631609375048,0.060672914362233515,0.06104517728090286,520646,0.0,0.0
1962-01-08 00:00:00-05:00,0.0,0.06160346115212329,0.06085910631591715,0.06123120337724686,1380845,0.0,0.0
1962-01-09 00:00:00-05:00,0.0,0.06225500705272044,0.061417457865860184,0.06151048094034195,1177114,0.0,0.0
1962-01-10 00:00:00-05:00,0.0,0.06290631204805593,0.06169650032973699,0.06253404915332794,882835,0.0,0.0
1962-01-11 00:00:00-05:00,0.0,0.06290635240529734,0.06197577995056752,0.06272030621767044,588557,0.0,0.0
1962-01-12 00:00:00-05:00,0.0,0.06327856992048428,0.06253404915332794,0.06253404915332794,407462,0.0,0.0
1962-01-15 00:00:00-05:00,0.0,0.06290631931206024,0.06178970125712475,0.06197574734687805,792288,0.0,0.0
1962-01-16 00:00:00-05:00,0.0,0.06160346115212329,0.061045157357731174,0.06123120337724686,384826,0.0,0.0
1962-01-17 00:00:00-05:00,0.0,0.06141745456863468,0.059742361307144165,0.059742361307144165,498010,0.0,0.0
1962-01-18 00:00:00-05:00,0.0,0.06085914373397827,0.05937010167436733,0.06085914373397827,1177114,0.0,0.0
1962-01-19 00:00:00-05:00,0.0,0.0623480102845925,0.06104518040399609,0.06197574734687805,633830,0.0,0.0
1962-01-22 00:00:00-05:00,0.0,0.06216179320428639,0.061045180175824755,0.061417438089847565,837562,0.0,0.0
1962-01-23 00:00:00-05:00,0.0,0.061231223361137975,0.060672914362233515,0.06104517728090286,928109,0.0,0.0
1962-01-24 00:00:00-05:00,0.0,0.06160350401482371,0.060300673719594265,0.06151048094034195,996019,0.0,0.0
1962-01-25 00:00:00-05:00,0.0,0.061510438142365446,0.061045157357731174,0.06123120337724686,611194,0.0,0.0
1962-01-26 00:00:00-05:00,0.0,0.061045196554732103,0.059742361307144165,0.059742361307144165,928109,0.0,0.0
1962-01-29 00:00:00-05:00,0.0,0.061231223361137975,0.0600215823232115,0.06104517728090286,747014,0.0,0.0
1962-01-30 00:00:00-05:00,0.0,0.0615104758196844,0.06095217168331146,0.06095217168331146,882835,0.0,0.0
1962-01-31 00:00:00-05:00,0.0,0.06178971379995346,0.0608591416458724,0.06178971379995346,814925,0.0,0.0
1962-02-01 00:00:00-05:00,0.0,0.06216175481677056,0.06160344613616888,0.062161754816770554,498010,0.0,0.0
1962-02-02 00:00:00-05:00,0.0,0.06216175481677056,0.06178966286843728,0.062161754816770554,430099,0.0,0.0
1962-02-05 00:00:00-05:00,0.0,0.0623480102845925,0.0616034844091636,0.06197574734687805,928109,0.0,0.0
1962-02-06 00:00:00-05:00,0.0,0.06272030621767044,0.06206880304438097,0.06272030621767044,1448755,0.0,0.0
1962-02-07 00:00:00-05:00,0.0,0.06281328201293945,0.06225497311216898,0.06281328201293945,588557,0.0,0.0
1962-02-08 00:00:00-05:00,0.0,0.06290630503670636,0.06225497311216898,0.06281328201293945,475373,0.0,0.0
1962-02-09 00:00:00-05:00,0.0,0.06337154656648636,0.06253400337827879,0.06337154656648636,679104,0.0,0.0
